27,-1,6.23,144.56,67.67,168.93,1,-1,-1,-1
27,-1,366.35,78.44,52.69,82.16,1,-1,-1,-1
28,-1,411.20,247.11,135.73,232.89,1,-1,-1,-1
28,-1,7.55,143.13,67.68,170.22,1,-1,-1,-1
28,-1,365.89,78.65,52.90,81.27,1,-1,-1,-1
29,-1,418.30,246.61,131.22,233.39,1,-1,-1,-1
29,-1,4.80,143.47,68.83,167.88,1,-1,-1,-1
29,-1,364.15,78.55,57.82,82.42,1,-1,-1,-1
30,-1,6.40,143.27,69.55,169.13,1,-1,-1,-1
30,-1,277.55,256.79,140.28,223.21,1,-1,-1,-1
30,-1,366.82,79.05,53.90,83.33,1,-1,-1,-1
30,-1,137.72,90.12,37.24,58.35,1,-1,-1,-1
31,-1,6.97,138.02,69.45,182.69,1,-1,-1,-1
31,-1,93.19,249.90,146.87,230.10,1,-1,-1,-1
31,-1,527.17,198.05,112.83,281.95,1,-1,-1,-1
31,-1,366.66,77.40,50.76,84.31,1,-1,-1,-1
32,-1,386.22,248.44,194.45,231.56,1,-1,-1,-1
32,-1,63.13,268.03,139.39,210.41,1,-1,-1,-1
32,-1,2.51,132.35,79.49,181.91,1,-1,-1,-1
32,-1,0.44,112.71,28.00,56.51,1,-1,-1,-1
32,-1,366.63,78.56,50.92,82.29,1,-1,-1,-1
33,-1,62.19,266.60,140.78,212.58,1,-1,-1,-1
33,-1,1.00,141.21,79.92,171.96,1,-1,-1,-1
33,-1,363.31,283.73,203.38,196.27,1,-1,-1,-1
33,-1,364.14,78.45,54.08,81.08,1,-1,-1,-1
34,-1,62.02,266.86,147.13,211.59,1,-1,-1,-1
34,-1,1.60,135.28,80.51,179.30,1,-1,-1,-1
34,-1,356.44,281.31,214.18,198.69,1,-1,-1,-1
34,-1,364.03,79.96,55.27,79.32,1,-1,-1,-1
35,-1,61.58,265.13,148.05,212.45,1,-1,-1,-1
35,-1,362.75,282.81,207.07,197.19,1,-1,-1,-1
35,-1,3.28,138.17,75.76,174.94,1,-1,-1,-1
35,-1,365.07,78.00,53.03,83.13,1,-1,-1,-1
36,-1,61.68,266.11,147.42,212.58,1,-1,-1,-1
36,-1,359.10,278.18,214.90,201.82,1,-1,-1,-1
36,-1,2.80,135.28,78.38,178.95,1,-1,-1,-1
36,-1,186.61,95.74,81.84,103.65,1,-1,-1,-1
36,-1,362.32,78.40,57.17,82.23,1,-1,-1,-1
37,-1,64.92,266.94,147.62,209.55,1,-1,-1,-1
37,-1,369.67,270.74,203.92,209.26,1,-1,-1,-1
37,-1,1.60,133.89,80.20,179.51,1,-1,-1,-1
37,-1,365.10,78.20,56.55,85.04,1,-1,-1,-1
38,-1,60.80,267.34,144.01,211.23,1,-1,-1,-1
38,-1,2.90,136.95,78.45,176.38,1,-1,-1,-1
38,-1,390.69,277.48,184.01,198.42,1,-1,-1,-1
38,-1,365.30,78.57,55.97,83.46,1,-1,-1,-1
39,-1,382.90,275.54,185.34,203.18,1,-1,-1,-1
39,-1,62.65,266.85,143.19,212.14,1,-1,-1,-1
39,-1,2.90,135.28,78.02,177.35,1,-1,-1,-1
39,-1,364.14,78.66,56.61,82.61,1,-1,-1,-1
40,-1,381.11,271.59,191.08,207.44,1,-1,-1,-1
40,-1,65.47,268.47,138.79,209.45,1,-1,-1,-1
40,-1,1.95,138.52,77.90,175.62,1,-1,-1,-1
40,-1,362.30,78.23,59.58,82.87,1,-1,-1,-1
41,-1,65.65,264.27,137.79,213.85,1,-1,-1,-1
41,-1,383.60,269.08,186.65,209.24,1,-1,-1,-1
41,-1,4.27,136.28,74.45,177.14,1,-1,-1,-1
41,-1,361.81,77.94,61.05,83.20,1,-1,-1,-1
42,-1,65.71,265.21,137.68,212.60,1,-1,-1,-1
42,-1,2.66,138.21,76.08,175.42,1,-1,-1,-1
42,-1,382.69,277.78,184.19,200.40,1,-1,-1,-1
42,-1,362.53,79.26,58.96,79.76,1,-1,-1,-1
43,-1,68.01,265.24,134.54,212.18,1,-1,-1,-1
43,-1,1.45,135.23,80.83,178.88,1,-1,-1,-1
43,-1,398.36,282.49,169.65,194.39,1,-1,-1,-1
43,-1,361.66,81.08,59.10,77.55,1,-1,-1,-1
44,-1,66.58,265.69,135.33,212.00,1,-1,-1,-1
44,-1,388.61,283.07,181.93,194.81,1,-1,-1,-1
44,-1,3.07,139.38,74.15,172.87,1,-1,-1,-1
44,-1,365.96,80.36,58.32,80.07,1,-1,-1,-1
45,-1,61.00,260.27,163.81,217.88,1,-1,-1,-1
45,-1,409.34,271.26,169.32,205.04,1,-1,-1,-1
45,-1,4.00,153.45,71.46,160.53,1,-1,-1,-1
45,-1,362.94,80.45,59.24,77.91,1,-1,-1,-1
46,-1,62.73,265.44,154.78,211.34,1,-1,-1,-1
46,-1,414.53,237.15,170.50,242.85,1,-1,-1,-1
46,-1,3.17,144.38,68.57,173.71,1,-1,-1,-1
46,-1,357.35,80.58,68.83,94.45,1,-1,-1,-1
46,-1,176.71,93.41,87.12,109.30,1,-1,-1,-1
47,-1,2.46,128.73,82.27,191.31,1,-1,-1,-1
47,-1,398.44,264.06,173.24,215.94,1,-1,-1,-1
47,-1,63.80,265.01,150.48,212.39,1,-1,-1,-1
47,-1,566.40,115.43,71.35,173.37,1,-1,-1,-1
47,-1,362.50,79.91,58.98,79.88,1,-1,-1,-1
48,-1,395.62,290.58,171.51,189.42,1,-1,-1,-1
